name seqs bp population year
VZ_2582 24577578 3711214278 VZ 2017
VZ_2583 22236226 3357670126 VZ 2017
VZ_2584 20880862 3153010162 VZ 2017
VZ_2585 25921714 3914178814 VZ 2017
VZ_2586 19438624 2935232224 VZ 2017
VZ_2587 12660250 1911697750 VZ 2017
VZ_2588 3874908 585111108 VZ 2019
VZ_2589 3483924 526072524 VZ 2019
VZ_2590 3305436 499120836 VZ 2019
VZ_2591 6913532 1043943332 VZ 2019
VZ_2592 9304858 1405033558 VZ 2019
VZ_2593 4976928 751516128 VZ 2019
VZ_2594 11856370 1790311870 VZ 2019
VZ_2595 9338144 1410059744 VZ 2019
VZ_2596 13743590 2075282090 VZ 2019
VZ_2597 6915612 1044257412 VZ 2019
VZ_2598 18016618 2720509318 VZ 2019
VZ_2599 9406274 1420347374 VZ 2019
VZ_2600 11913252 1798901052 VZ 2019
VZ_2601 21067570 3181203070 VZ 2019
VZ_2602 26326652 3975324452 VZ 2019
VZ_2603 10389898 1568874598 VZ 2019
VZ_2604 13817742 2086479042 VZ 2019
VZ_2605 23718020 3581421020 VZ 2019
VZ_2606 16982450 2564349950 VZ 2019
VZ_2607 34544608 5216235808 VZ 2019
VZ_2608 30818628 4653612828 VZ 2019
VZ_2609 52768330 7968017830 VZ 2019
VZ_2610 49628492 7493902292 VZ 2019
VZ_2611 32893550 4966926050 VZ 2019
VZ_2612 18539028 2799393228 VZ 2019
VZ_2613 46763558 7061297258 VZ 2019
VZ_2614 27200464 4107270064 VZ 2019
VZ_2615 32181304 4859376904 VZ 2019
VZ_2616 34992334 5283842434 VZ 2019
VZ_2617 27335686 4127688586 VZ 2019
VZ_2618 25816288 3898259488 VZ 2019
VZ_2619 11784850 1779512350 VZ 2019
VZ_2620 19638248 2965375448 VZ 2019
VZ_2622 44941088 6786104288 VZ 2019
VZ_2623 20815426 3143129326 VZ 2019
